country,year,deaths_total,ecommerce_sales_usd_millions,internet_usage_percent
Afghanistan,1989,5411.0,,
Afghanistan,1990,1514.0,,
Afghanistan,1991,3553.0,,
Afghanistan,1992,4385.0,,
Afghanistan,1993,4105.0,,
Afghanistan,1994,9056.0,,
Afghanistan,1995,5618.0,,
Afghanistan,1996,3595.0,,
Afghanistan,1997,6721.0,,
Afghanistan,1998,12174.0,,
Afghanistan,1999,5065.0,,
Afghanistan,2000,5394.0,,
Afghanistan,2001,5553.0,,
Afghanistan,2002,1157.0,,
Afghanistan,2003,944.0,,
Afghanistan,2004,817.0,,
Afghanistan,2005,1711.0,,
Afghanistan,2006,4982.0,,
Afghanistan,2007,7037.0,,
Afghanistan,2008,5661.0,,
Afghanistan,2009,6499.0,,
Afghanistan,2010,7151.0,,
Afghanistan,2011,7563.0,,
Afghanistan,2012,7783.0,,
Afghanistan,2013,8131.0,,
Afghanistan,2014,12549.0,,
Afghanistan,2015,18018.0,,
Afghanistan,2016,19025.0,,
Afghanistan,2017,19784.0,,
Afghanistan,2018,26895.0,,
Afghanistan,2019,30435.0,,
Afghanistan,2020,20834.0,,
Afghanistan,2021,36386.0,,
Afghanistan,2022,1574.0,,
Afghanistan,2023,360.0,,
Afghanistan,2024,353.0,,
Africa,2015,,,31.1
Africa,2015,,,19.4
Africa,2016,,,32.3
Africa,2016,,,20.9
Africa,2017,,,33.6
Africa,2018,,,35.7
Africa,2020,,,49.6
Africa,2021,,,50.6
Africa,2022,,,51.7
Africa,2023,,,54.7
Africa,2025,,,17.3
Albania,1999,26.0,,
Algeria,1990,1.0,,
Algeria,1991,34.0,,
Algeria,1992,274.0,,
Algeria,1993,826.0,,
Algeria,1994,1943.0,,
Algeria,1995,3059.0,,
Algeria,1996,1091.0,,
Algeria,1997,2008.0,,
Algeria,1998,3284.0,,
Algeria,1999,1168.0,,
Algeria,2000,1193.0,,
Algeria,2001,674.0,,
Algeria,2002,1058.0,,
Algeria,2003,714.0,,
Algeria,2004,500.0,,
Algeria,2005,232.0,,
Algeria,2006,292.0,,
Algeria,2007,495.0,,
Algeria,2008,345.0,,
Algeria,2009,541.0,,
Algeria,2010,252.0,,
Algeria,2011,276.0,,
Algeria,2012,264.0,,
Algeria,2013,222.0,,
Algeria,2014,111.0,,
Algeria,2015,110.0,,
Algeria,2016,89.0,,
Algeria,2017,77.0,,
Algeria,2018,35.0,,
Algeria,2019,15.0,,
Algeria,2020,28.0,,
Algeria,2021,18.0,,
Algeria,2022,14.0,,
Algeria,2023,1.0,,
Algeria,2024,3.0,,
Americas,2015,,,82.8
Americas,2015,,,72.5
Americas,2016,,,84.9
Americas,2016,,,75.0
Americas,2017,,,86.4
Americas,2018,,,88.1
Americas,2020,,,86.5
Americas,2021,,,88.2
Americas,2022,,,89.3
Americas,2023,,,90.9
Americas,2025,,,67.2
Angola,1989,2873.0,,
Angola,1990,2609.0,,
Angola,1991,516.0,,
Angola,1992,2352.0,,
Angola,1993,12398.0,,
Angola,1994,4009.0,,
Angola,1995,238.0,,
Angola,1996,32.0,,
Angola,1997,105.0,,
Angola,1998,1191.0,,
Angola,1999,2666.0,,
Angola,2000,1209.0,,
Angola,2001,2158.0,,
Angola,2002,579.0,,
Angola,2003,84.0,,
Angola,2004,38.0,,
Angola,2005,15.0,,
Angola,2006,3.0,,
Angola,2007,26.0,,
Angola,2008,4.0,,
Angola,2009,25.0,,
Angola,2010,10.0,,
Angola,2011,1.0,,
Angola,2013,2.0,,
Angola,2014,0.0,,
Angola,2015,1.0,,
Angola,2016,26.0,,
Angola,2017,26.0,,
Angola,2018,24.0,,
Angola,2019,26.0,,
Angola,2020,29.0,,
Angola,2021,13.0,,
Angola,2022,21.0,,
Angola,2023,0.0,,
Angola,2024,25.0,,
Arab States,2015,,,66.9
Arab States,2015,,,50.7
Arab States,2016,,,68.2
Arab States,2016,,,51.2
Arab States,2017,,,68.6
Arab States,2018,,,69.5
Arab States,2020,,,79.5
Arab States,2021,,,80.4
Arab States,2022,,,80.6
Arab States,2023,,,81.8
Arab States,2025,,,48.3
Argentina,1992,0.0,,
Argentina,1994,86.0,,
Armenia,1992,85.0,,
Armenia,1993,37.0,,
Armenia,1994,30.0,,
Armenia,1995,7.0,,
Armenia,2005,1.0,,
Armenia,2006,2.0,,
Armenia,2012,9.0,,
Armenia,2013,1.0,,
Armenia,2015,16.0,,
Armenia,2016,4.0,,
Armenia,2018,1.0,,
Armenia,2019,2.0,,
Armenia,2020,10.0,,
Armenia,2021,10.0,,
Armenia,2022,154.0,,
Armenia,2023,20.0,,
Asia-Pacific,2015,,,68.3
Asia-Pacific,2015,,,62.8
Asia-Pacific,2016,,,71.2
Asia-Pacific,2016,,,65.9
Asia-Pacific,2017,,,74.1
Asia-Pacific,2018,,,77.1
Asia-Pacific,2020,,,81.8
Asia-Pacific,2021,,,83.6
Asia-Pacific,2022,,,85.4
Asia-Pacific,2023,,,88.4
Asia-Pacific,2025,,,55.4
Australia,2012,,245392.159,
Australia,2013,,237487.705,
Australia,2014,,240678.596,
Australia,2015,,428971.66,
Australia,2016,,477842.196,
Australia,2017,,604403.233,
Australia,2018,2.0,,
Austria,2016,,2093963.097,
Austria,2017,,1660948.173,
Austria,2018,,2709261.525,
Austria,2019,,2620658.864,
Austria,2020,4.0,2996524.352,
Austria,2021,,2932624.698,
Austria,2022,,2705608.246,
Austria,2023,,4444341.796,
Azerbaijan,1991,35.0,,
Azerbaijan,1992,2856.0,,
Azerbaijan,1993,1194.0,,
Azerbaijan,1994,1489.0,,
Azerbaijan,1995,55.0,,
Azerbaijan,1996,5.0,,
Azerbaijan,1997,29.0,,
Azerbaijan,1998,34.0,,
Azerbaijan,1999,18.0,,
Azerbaijan,2000,13.0,,
Azerbaijan,2001,6.0,,
Azerbaijan,2004,8.0,,
Azerbaijan,2005,24.0,,
Azerbaijan,2006,5.0,,
Azerbaijan,2007,12.0,,
Azerbaijan,2008,30.0,,
Azerbaijan,2009,7.0,,
Azerbaijan,2010,20.0,,
Azerbaijan,2011,21.0,,
Azerbaijan,2012,16.0,,
Azerbaijan,2013,11.0,,
Azerbaijan,2014,46.0,,
Azerbaijan,2015,63.0,,
Azerbaijan,2016,137.0,,
Azerbaijan,2017,36.0,,
Azerbaijan,2018,16.0,,
Azerbaijan,2019,9.0,,
Azerbaijan,2020,7636.0,,
Azerbaijan,2021,30.0,,
Azerbaijan,2022,154.0,,
Azerbaijan,2023,442.0,,
Bahrain,2011,26.0,,
Bangladesh,1989,81.0,,
Bangladesh,1990,94.0,,
Bangladesh,1991,107.0,,
Bangladesh,1992,225.0,,
Bangladesh,1993,43.0,,
Bangladesh,1994,32.0,,
Bangladesh,1995,14.0,,
Bangladesh,1996,46.0,,
Bangladesh,1997,16.0,,
Bangladesh,1998,21.0,,
Bangladesh,1999,14.0,,
Bangladesh,2000,105.0,,
Bangladesh,2001,72.0,,
Bangladesh,2002,7.0,,
Bangladesh,2003,8.0,,
Bangladesh,2004,75.0,,
Bangladesh,2005,80.0,,
Bangladesh,2006,96.0,,
Bangladesh,2007,18.0,,
Bangladesh,2008,13.0,,
Bangladesh,2009,10.0,,
Bangladesh,2010,5.0,,
Bangladesh,2011,0.0,,
Bangladesh,2012,2.0,,
Bangladesh,2013,54.0,,
Bangladesh,2014,2.0,,
Bangladesh,2015,10.0,,
Bangladesh,2016,73.0,,
Bangladesh,2017,48.0,,
Bangladesh,2018,28.0,,
Bangladesh,2019,3.0,,
Bangladesh,2020,5.0,,
Bangladesh,2021,2.0,,
Bangladesh,2022,13.0,,
Bangladesh,2023,12.0,,
Bangladesh,2024,374.0,,
Belgium,2016,34.0,,
Belgium,2018,4.0,,
Belgium,2023,2.0,,
Benin,2019,1.0,,
Benin,2020,1.0,,
Benin,2021,11.0,,
Benin,2022,30.0,,
Benin,2023,46.0,,
Benin,2024,85.0,,
Bhutan,1997,4.0,,
Bhutan,2004,0.0,,
Bolivia,1998,2.0,,
Bolivia,2000,50.0,,
Bolivia,2021,1.0,,
Bolivia,2023,1.0,,
Bosnia and Herzegovina,1992,25171.0,,
Bosnia and Herzegovina,1993,13787.0,,
Bosnia and Herzegovina,1994,7312.0,,
Bosnia and Herzegovina,1995,17265.0,,
Bosnia and Herzegovina,2017,,92975.718,
Bosnia and Herzegovina,2018,,143620.311,
Bosnia and Herzegovina,2019,,65518.866,
Bosnia and Herzegovina,2020,,90194.472,
Bosnia and Herzegovina,2021,,80887.431,
Bosnia and Herzegovina,2022,,104475.619,
Bosnia and Herzegovina,2023,,132026.734,
Botswana,1990,1.0,,
Brazil,1993,43.0,,
Brazil,1994,32.0,,
Brazil,1995,51.0,,
Brazil,1996,20.0,,
Brazil,1997,41.0,,
Brazil,1998,16.0,,
Brazil,1999,86.0,,
Brazil,2000,64.0,,
Brazil,2001,81.0,,
Brazil,2002,65.0,,
Brazil,2003,51.0,,
Brazil,2004,86.0,,
Brazil,2005,60.0,,
Brazil,2006,23.0,,
Brazil,2007,40.0,,
Brazil,2008,20.0,,
Brazil,2009,40.0,,
Brazil,2010,4.0,,
Brazil,2011,34.0,,
Brazil,2012,275.0,,
Brazil,2013,28.0,,
Brazil,2014,4.0,,
Brazil,2015,83.0,,
Brazil,2016,156.0,,
Brazil,2017,3062.0,,
Brazil,2018,2662.0,,
Brazil,2019,1731.0,,
Brazil,2020,2670.0,,
Brazil,2021,2661.0,,
Brazil,2022,1703.0,,
Brazil,2023,2481.0,,
Brazil,2024,1635.0,,
Burkina Faso,2016,26.0,,
Burkina Faso,2017,54.0,,
Burkina Faso,2018,195.0,,
Burkina Faso,2019,1246.0,,
Burkina Faso,2020,1167.0,,
Burkina Faso,2021,1458.0,,
Burkina Faso,2022,2704.0,,
Burkina Faso,2023,6122.0,,
Burkina Faso,2024,4251.0,,
Burundi,1990,7.0,,
Burundi,1991,342.0,,
Burundi,1992,61.0,,
Burundi,1993,10218.0,,
Burundi,1994,897.0,,
Burundi,1995,2828.0,,
Burundi,1996,18184.0,,
Burundi,1997,4395.0,,
Burundi,1998,1797.0,,
Burundi,1999,1852.0,,
Burundi,2000,2442.0,,
Burundi,2001,1634.0,,
Burundi,2002,1990.0,,
Burundi,2003,1283.0,,
Burundi,2004,734.0,,
Burundi,2005,485.0,,
Burundi,2006,251.0,,
Burundi,2007,79.0,,
Burundi,2008,257.0,,
Burundi,2009,0.0,,
Burundi,2011,4.0,,
Burundi,2012,14.0,,
Burundi,2013,16.0,,
Burundi,2014,61.0,,
Burundi,2015,265.0,,
Burundi,2016,93.0,,
Burundi,2017,43.0,,
Burundi,2018,116.0,,
Burundi,2019,75.0,,
Burundi,2020,145.0,,
Burundi,2021,81.0,,
Burundi,2022,48.0,,
Burundi,2023,125.0,,
Burundi,2024,70.0,,
CIS,2015,,,86.8
CIS,2015,,,85.2
CIS,2016,,,89.2
CIS,2016,,,87.5
CIS,2017,,,90.8
CIS,2018,,,92.9
CIS,2020,,,90.5
CIS,2021,,,92.3
CIS,2022,,,93.7
CIS,2023,,,95.8
CIS,2025,,,79.7
Cambodia,1989,814.0,,
Cambodia,1990,377.0,,
Cambodia,1991,322.0,,
Cambodia,1992,193.0,,
Cambodia,1993,484.0,,
Cambodia,1994,572.0,,
Cambodia,1995,723.0,,
Cambodia,1996,846.0,,
Cambodia,1997,444.0,,
Cambodia,1998,274.0,,
Cambodia,1999,0.0,,
Cambodia,2000,4.0,,
Cambodia,2003,1.0,,
Cambodia,2007,2.0,,
Cambodia,2008,2.0,,
Cambodia,2009,2.0,,
Cambodia,2011,10.0,,
Cambodia,2012,1.0,,
Cameroon,1990,6.0,,
Cameroon,1991,50.0,,
Cameroon,1992,25.0,,
Cameroon,1993,47.0,,
Cameroon,1994,102.0,,
Cameroon,1996,56.0,,
Cameroon,1998,52.0,,
Cameroon,2000,2.0,,
Cameroon,2001,0.0,,
Cameroon,2004,0.0,,
Cameroon,2005,0.0,,
Cameroon,2008,0.0,,
Cameroon,2009,0.0,,
Cameroon,2013,1.0,,
Cameroon,2014,1047.0,,
Cameroon,2015,1263.0,,
Cameroon,2016,491.0,,
Cameroon,2017,410.0,,
Cameroon,2018,1013.0,,
Cameroon,2019,868.0,,
Cameroon,2020,792.0,,
Cameroon,2021,827.0,,
Cameroon,2022,667.0,,
Cameroon,2023,638.0,,
Cameroon,2024,421.0,,
Canada,1994,3.0,,
Canada,1995,24.0,,
Canada,1996,2.0,,
Canada,1997,2.0,,
Canada,1998,27.0,,
Canada,1999,11.0,,
Canada,2000,23.0,,
Canada,2001,1.0,,
Canada,2012,,407050.583,
Canada,2013,,429337.888,
Canada,2019,,1426470.052,
Canada,2021,,2186067.061,
Canada,2023,,835780.262,
Central African Republic,1991,0.0,,
Central African Republic,1992,3.0,,
Central African Republic,1993,4.0,,
Central African Republic,1999,5.0,,
Central African Republic,2000,6.0,,
Central African Republic,2001,216.0,,
Central African Republic,2002,152.0,,
Central African Republic,2003,19.0,,
Central African Republic,2004,23.0,,
Central African Republic,2005,8.0,,
Central African Republic,2006,190.0,,
Central African Republic,2007,143.0,,
Central African Republic,2008,8.0,,
Central African Republic,2009,244.0,,
Central African Republic,2010,148.0,,
Central African Republic,2011,195.0,,
Central African Republic,2012,132.0,,
Central African Republic,2013,3396.0,,
Central African Republic,2014,3493.0,,
Central African Republic,2015,745.0,,
Central African Republic,2016,688.0,,
Central African Republic,2017,1865.0,,
Central African Republic,2018,640.0,,
Central African Republic,2019,501.0,,
Central African Republic,2020,299.0,,
Central African Republic,2021,1080.0,,
Central African Republic,2022,773.0,,
Central African Republic,2023,423.0,,
Central African Republic,2024,485.0,,
Chad,1989,50.0,,
Chad,1990,686.0,,
Chad,1991,95.0,,
Chad,1992,1190.0,,
Chad,1993,313.0,,
Chad,1994,521.0,,
Chad,1995,53.0,,
Chad,1996,4.0,,
Chad,1997,134.0,,
Chad,1998,198.0,,
Chad,1999,394.0,,
Chad,2000,1070.0,,
Chad,2001,230.0,,
Chad,2002,297.0,,
Chad,2003,37.0,,
Chad,2004,80.0,,
Chad,2005,267.0,,
Chad,2006,1956.0,,
Chad,2007,431.0,,
Chad,2008,994.0,,
Chad,2009,135.0,,
Chad,2010,4.0,,
Chad,2014,16.0,,
Chad,2015,397.0,,
Chad,2016,26.0,,
Chad,2017,91.0,,
Chad,2018,168.0,,
Chad,2019,253.0,,
Chad,2020,249.0,,
Chad,2021,667.0,,
Chad,2022,114.0,,
Chad,2023,112.0,,
Chad,2024,195.0,,
China,1989,2600.0,,
China,1990,22.0,,
China,1997,4.0,,
China,1999,0.0,,
China,2005,12.0,,
China,2007,0.0,,
China,2008,87.0,,
China,2009,189.0,,
China,2013,,2156888.5130000003,
China,2014,,3135868.2630000003,
China,2015,5.0,3667968.134,
China,2016,,4036255.471,
China,2017,6.0,4851439.294,
China,2018,,5827820.37,
China,2019,,6341279.464,
China,2020,,7118789.558999999,
China,2021,,9157557.341,
China,2022,,11543318.22,
China,2023,1.0,13152543.864,
"China, Hong Kong SAR",2012,,146322.465,
"China, Hong Kong SAR",2014,,208732.473,
"China, Hong Kong SAR",2016,,234773.165,
"China, Hong Kong SAR",2018,,265876.762,
"China, Hong Kong SAR",2020,,302494.311,
"China, Hong Kong SAR",2022,,480963.427,
Colombia,1989,384.0,,
Colombia,1990,712.0,,
Colombia,1991,872.0,,
Colombia,1992,1500.0,,
Colombia,1993,302.0,,
Colombia,1994,1211.0,,
Colombia,1995,943.0,,
Colombia,1996,1401.0,,
Colombia,1997,891.0,,
Colombia,1998,1646.0,,
Colombia,1999,2638.0,,
Colombia,2000,4388.0,,
Colombia,2001,4611.0,,
Colombia,2002,6012.0,,
Colombia,2003,4678.0,,
Colombia,2004,3380.0,,
Colombia,2005,2888.0,,
Colombia,2006,945.0,,
Colombia,2007,683.0,,
Colombia,2008,643.0,,
Colombia,2009,501.0,,
Colombia,2010,442.0,,
Colombia,2011,227.0,,
Colombia,2012,227.0,,
Colombia,2013,140.0,,
Colombia,2014,157.0,,
Colombia,2015,144.0,,
Colombia,2016,85.0,,
Colombia,2017,107.0,,
Colombia,2018,253.0,47365.811,
Colombia,2019,219.0,92611.101,
Colombia,2020,196.0,90119.644,
Colombia,2021,291.0,,
Colombia,2022,360.0,,
Colombia,2023,534.0,,
Colombia,2024,664.0,,
Comoros,1989,29.0,,
Comoros,1997,56.0,,
Comoros,1998,40.0,,
Congo,1992,2.0,,
Congo,1993,135.0,,
Congo,1994,18.0,,
Congo,1995,2.0,,
Congo,1996,1.0,,
Congo,1997,10412.0,,
Congo,1998,3763.0,,
Congo,1999,948.0,,
Congo,2001,3.0,,
Congo,2002,234.0,,
Congo,2003,33.0,,
Congo,2005,15.0,,
Congo,2007,2.0,,
Congo,2008,1.0,,
Congo,2011,1.0,,
Congo,2012,2.0,,
Congo,2015,0.0,,
Congo,2016,73.0,,
Congo,2017,20.0,,
Congo,2019,0.0,,
Congo,2020,0.0,,
Congo,2022,3.0,,
Croatia,1992,142.0,,
Croatia,1993,373.0,,
Croatia,1995,963.0,,
Croatia,2016,,160671.644,
Croatia,2017,,159417.04200000002,
Croatia,2018,,175376.028,
Croatia,2019,,217265.769,
Croatia,2020,,294686.126,
Croatia,2021,,378487.679,
Croatia,2022,,318844.167,
Croatia,2023,,598500.3640000001,
Czechia,2016,,2939345.354,
Czechia,2017,,2778782.68,
Czechia,2018,,3561689.142,
Czechia,2019,,3277059.367,
Czechia,2020,,3440254.416,
Czechia,2021,,3811880.443,
Czechia,2022,,4924112.465,
Czechia,2023,,4043127.154,
DR Congo,1989,28.0,,
DR Congo,1990,147.0,,
DR Congo,1991,32.0,,
DR Congo,1992,67.0,,
DR Congo,1993,3337.0,,
DR Congo,1994,332.0,,
DR Congo,1995,526.0,,
DR Congo,1996,34307.0,,
DR Congo,1997,13897.0,,
DR Congo,1998,7717.0,,
DR Congo,1999,7849.0,,
DR Congo,2000,3055.0,,
DR Congo,2001,1490.0,,
DR Congo,2002,7945.0,,
DR Congo,2003,4324.0,,
DR Congo,2004,782.0,,
DR Congo,2005,305.0,,
DR Congo,2006,390.0,,
DR Congo,2007,879.0,,
DR Congo,2008,1740.0,,
DR Congo,2009,5308.0,,
DR Congo,2010,1088.0,,
DR Congo,2011,552.0,,
DR Congo,2012,1838.0,,
DR Congo,2013,2197.0,,
DR Congo,2014,1624.0,,
DR Congo,2015,737.0,,
DR Congo,2016,2194.0,,
DR Congo,2017,5975.0,,
DR Congo,2018,3147.0,,
DR Congo,2019,2529.0,,
DR Congo,2020,4008.0,,
DR Congo,2021,3723.0,,
DR Congo,2022,5967.0,,
DR Congo,2023,3936.0,,
DR Congo,2024,5409.0,,
Denmark,2016,,1692074.678,
Denmark,2017,,3424001.553,
Denmark,2018,,3035029.847,
Denmark,2019,,3095464.3,
Denmark,2020,,3367593.389,
Denmark,2021,,2740911.944,
Denmark,2022,,4185862.947,
Denmark,2023,,4735549.036,
Djibouti,1989,6.0,,
Djibouti,1990,60.0,,
Djibouti,1991,134.0,,
Djibouti,1992,129.0,,
Djibouti,1993,33.0,,
Djibouti,1994,39.0,,
Djibouti,1995,18.0,,
Djibouti,1996,0.0,,
Djibouti,1997,11.0,,
Djibouti,1998,16.0,,
Djibouti,1999,25.0,,
Djibouti,2008,35.0,,
Djibouti,2014,1.0,,
Djibouti,2018,6.0,,
Djibouti,2021,3.0,,
Ecuador,1995,11.0,,
Ecuador,2001,2.0,,
Ecuador,2003,26.0,,
Ecuador,2005,3.0,,
Ecuador,2006,2.0,,
Ecuador,2007,2.0,,
Ecuador,2008,53.0,,
Ecuador,2019,2.0,,
Ecuador,2020,11.0,,
Ecuador,2021,291.0,,
Ecuador,2022,118.0,,
Ecuador,2023,540.0,,
Ecuador,2024,328.0,,
Egypt,1990,4.0,,
Egypt,1992,13.0,,
Egypt,1993,108.0,,
Egypt,1994,162.0,,
Egypt,1995,233.0,,
Egypt,1996,149.0,,
Egypt,1997,143.0,,
Egypt,1998,29.0,,
Egypt,1999,4.0,,
Egypt,2000,5.0,,
Egypt,2004,35.0,,
Egypt,2005,124.0,,
Egypt,2006,2.0,,
Egypt,2008,2.0,,
Egypt,2009,1.0,,
Egypt,2010,1.0,,
Egypt,2011,31.0,,
Egypt,2012,75.0,,
Egypt,2013,135.0,,
Egypt,2014,249.0,,
Egypt,2015,991.0,,
Egypt,2016,404.0,,
Egypt,2017,902.0,,
Egypt,2018,692.0,,
Egypt,2019,664.0,,
Egypt,2020,547.0,,
Egypt,2021,124.0,,
Egypt,2022,236.0,,
Egypt,2023,6.0,,
El Salvador,1989,4924.0,,
El Salvador,1990,849.0,,
El Salvador,1991,88.0,,
El Salvador,1992,4.0,,
El Salvador,2004,34.0,,
El Salvador,2009,5.0,,
El Salvador,2010,2.0,,
El Salvador,2015,1.0,,
El Salvador,2017,1.0,,
El Salvador,2019,1.0,,
El Salvador,2021,9.0,,
El Salvador,2022,88.0,,
Eritrea,1993,21.0,,
Eritrea,1996,14.0,,
Eritrea,1997,31.0,,
Eritrea,1998,792.0,,
Eritrea,1999,17203.0,,
Eritrea,2000,1793.0,,
Eritrea,2003,57.0,,
Eritrea,2008,0.0,,
Eritrea,2016,25.0,,
Eritrea,2022,4.0,,
Estonia,2016,,204165.068,
Estonia,2017,,183201.052,
Estonia,2018,,185495.122,
Estonia,2019,,172032.819,
Estonia,2020,,229382.106,
Estonia,2021,,317043.874,
Estonia,2022,,280997.196,
Estonia,2023,,355654.942,
Ethiopia,1989,25385.0,,
Ethiopia,1990,49856.0,,
Ethiopia,1991,12440.0,,
Ethiopia,1992,1026.0,,
Ethiopia,1993,133.0,,
Ethiopia,1994,76.0,,
Ethiopia,1995,1043.0,,
Ethiopia,1996,65.0,,
Ethiopia,1997,12.0,,
Ethiopia,1998,1027.0,,
Ethiopia,1999,30786.0,,
Ethiopia,2000,48666.0,,
Ethiopia,2001,388.0,,
Ethiopia,2002,809.0,,
Ethiopia,2003,1093.0,,
Ethiopia,2004,475.0,,
Ethiopia,2005,290.0,,
Ethiopia,2006,430.0,,
Ethiopia,2007,500.0,,
Ethiopia,2008,311.0,,
Ethiopia,2009,590.0,,
Ethiopia,2010,152.0,,
Ethiopia,2011,66.0,,
Ethiopia,2012,391.0,,
Ethiopia,2013,88.0,,
Ethiopia,2014,139.0,,
Ethiopia,2015,307.0,,
Ethiopia,2016,529.0,,
Ethiopia,2017,488.0,,
Ethiopia,2018,713.0,,
Ethiopia,2019,425.0,,
Ethiopia,2020,24429.0,,
Ethiopia,2021,129516.0,,
Ethiopia,2022,165025.0,,
Ethiopia,2023,2346.0,,
Ethiopia,2024,4072.0,,
Europe,2015,,,88.3
Europe,2015,,,85.9
Europe,2016,,,89.6
Europe,2016,,,87.1
Europe,2017,,,90.8
Europe,2018,,,92.2
Europe,2020,,,90.5
Europe,2021,,,91.6
Europe,2022,,,92.5
Europe,2023,,,94.0
Europe,2025,,,82.0
Finland,2016,,267066.012,
Finland,2017,,297045.554,
Finland,2018,,372883.364,
Finland,2020,,334782.706,
Finland,2022,,430044.972,
Finland,2023,,490187.186,
France,1992,0.0,,
France,1995,8.0,,
France,1996,0.0,,
France,2007,2.0,,
France,2012,4.0,,
France,2015,133.0,,
France,2016,87.0,14809147.078,
France,2017,2.0,15950415.353,
France,2018,13.0,17224607.308,
France,2019,,15519938.768,
France,2020,,14236447.027,
France,2021,,12303743.176,
France,2022,,8616589.048,
France,2023,48.0,10190271.981,
France,2024,3.0,,
Gambia,1996,0.0,,
Gambia,2004,1.0,,
Gambia,2005,8.0,,
Gambia,2012,1.0,,
Gambia,2024,1.0,,
Georgia,1991,52.0,,
Georgia,1992,775.0,,
Georgia,1993,1837.0,,
Georgia,1995,52.0,,
Georgia,1997,26.0,,
Georgia,1998,38.0,,
Georgia,2002,0.0,,
Georgia,2004,27.0,,
Georgia,2008,621.0,,
Georgia,2010,3.0,,
Georgia,2011,0.0,,
Georgia,2023,1.0,,
Germany,1989,3.0,,
Germany,1990,1.0,,
Germany,1992,4.0,,
Germany,2016,12.0,9954156.102,
